ID,İsim,Segment,Resmi Tam Ünvan (Long Name),Kuruluş Tarihi,İşletme Ölçeği,Çalışan Sayısı (2023),Çalışan Sayısı (2024),Çalışan Sayısı (2025),Toplam Gelir (2023),Toplam Gelir (2024),Toplam Gelir (2025),E-posta Adresi,Şehir,Web / Profil Linkleri
51,KVART NEKRETNINE,B-BuyuyenOrta,ART NEKRETNINE DOO BEOGRAD-STARI GRAD,15.10.2014.,Malo,"28,00","34,00","39,00","46.672.000,00","71.330.000,00","120.468.000,00",artstanovi@gmail.com,Niš,"https://www.companywall.rs/firma/art-nekretnine/MMspn7vD,https://www.indomio.rs/en/agent/kvart-nekretnine/30019,https://www.nekretnine.rs/en/agencije-za-nekretnine/1079/,https://www.nekretnine.rs/en/agencije-za-nekretnine/241/"
386,Kredium DOO Beograd,B-BuyuyenOrta,Kredium DOO Beograd-Savski Venac,9.6.2020.,Malo,"23,00","35,00","45,00","112.808.000,00","148.290.000,00","157.831.000,00",info@kredium.rs,sprat: I,"https://kredium.rs,https://www.companywall.rs/firma/kredium-doo-beograd/MMx1hxYtY"
33,Real Estate Bulevar,B-BuyuyenOrta,Bulevar nekretnine DOO Niš,13.5.2022.,Mikro,"7,00","11,00","14,00","6.165.000,00","21.958.000,00","35.443.000,00",racunovodstvo@bulevarnekretnine.rs,Niš,"https://www.companywall.rs/firma/bulevar-nekretnine-doo/MMx71r53D,https://www.indomio.rs/en/agent/real-estate-bulevar/13375,https://www.limunnekretnine.rs,https://www.nekretnine.rs/en/agencije-za-nekretnine/3935/"
416,SCORDIA INTERNATIONAL PROPERTIES DOO,B-BuyuyenOrta,SCORDIA INTERNATIONAL PROPERTIES DOO BEOGRAD - NOVI BEOGRAD,22.2.2023.,Mikro,"3,00","11,00","11,00","1.000,00","29.571.000,00","32.049.000,00","office@scordiaproperties.com,office@scordiaproperties.rs",BEOGRAD (NOVI BEOGRAD),https://www.companywall.rs/firma/scordia-international-properties-doo/MMxAZe9Hq
401,BANJA NEKRETNINE BETON & WOOD FACTORY DOO,C-KuculenOrta,BANJA NEKRETNINE BETON & WOOD FACTORY DOO VRNJAČKA BANJA,11.10.2022.,Malo,"61,00","35,00","12,00","446.865.000,00","176.763.000,00","51.792.000,00",agencija@banjanekretnine.rs,Vrnjačka Banja,"https://banjanekretnine.rs/o-nama/,https://www.companywall.rs/firma/banja-nekretnine-beton--wood-factory-doo/MMx7uHPwR"
408,BELI GRAD NEKRETNINE d.o.o. Beograd,C-KuculenOrta,Privredno društvo za posredovanje i usluge BELI GRAD NEKRETNINE d.o.o. Beograd,7.10.2016.,Mikro,"39,00","35,00","31,00","41.229.000,00","46.593.000,00","43.185.000,00",beligradnekretnine@gmail.com,sprat: PR,https://www.companywall.rs/firma/beli-grad-nekretnine-doo-beograd/MMt9xQ3R
389,CENZAR DOO SUBOTICA,C-KuculenOrta,"CENZAR PREDUZEĆE ZA PROIZVODNJU, INŽINJERING I PROMET ROBA, USLUGA I NEKRETNINA DOO SUBOTICA",9.3.1992.,Malo,"17,00","17,00","16,00","190.908.000,00","149.848.000,00","152.164.000,00",cenzar@yahoo.com,Subotica,"https://www.cenzarnekretnine.com,https://www.companywall.rs/firma/cenzar-doo-subotica/MMlbX9X0"
391,NOVASTON DOO,C-KuculenOrta,NOVASTON DOO Beograd-Stari Grad,21.6.2013.,Malo,"34,00","17,00","13,00","160.465.000,00","111.772.000,00","116.521.000,00",sanja.lazarevic@novaston.com,Beograd (Stari Grad),https://www.companywall.rs/firma/novaston-doo/MMi0PaUC
406,SOLIS NEKRETNINE DOO NOVI SAD,C-KuculenOrta,SOLIS NEKRETNINE DOO NOVI SAD,26.6.2015.,Mikro,"39,00","34,00","29,00","42.099.000,00","43.418.000,00","45.900.000,00",solisns@gmail.com,Novi Sad,"https://www.companywall.rs/firma/solis-nekretnine-doo-novi-sad/MMoFVRbD,https://www.solis-nekretnine.com"
422,STILIKO DOO BEOGRAD,C-KuculenOrta,"PREDUZEĆE ZA PROIZVODNJU, TRGOVINU, GRAĐEVINARSTVO I USLUGE STILIKO DOO BEOGRAD - BEGALJICA",26.1.1990.,Malo,"15,00","14,00","15,00","30.949.000,00","29.875.000,00","29.494.000,00",gropromet@gmail.com,BEGALjICA,https://www.companywall.rs/firma/stiliko-doo-beograd/MMrN07c0
390,UZUS DOO BEOGRAD,C-KuculenOrta,UZUS DOO BEOGRAD (ZEMUN),4.1.2010.,Malo,"10,00","10,00","10,00","232.258.000,00","170.093.000,00","143.675.000,00",office@uzus.rs,Beograd (Zemun),https://www.companywall.rs/firma/uzus-doo-beograd/MMqL6UiD
402,WEST PROPERTIES COLLIERS,C-KuculenOrta,WEST PROPERTIES COLLIERS d.o.o. Beograd-Vračar,24.8.2009.,Mikro,"21,00","14,00","10,00","76.491.000,00","65.985.000,00","51.475.000,00","office@colliers.rs,office@westproperties.rs",Beograd (Vračar),"http://www.westproperties.rs,https://westproperties.rs,https://www.colliers.com/en-rs,https://www.companywall.rs/firma/west-properties-colliers/MMD1XYdR"
399,8 ROOMS DOO,D-Kucuk,8 ROOMS DOO BEOGRAD,6.3.2023.,Mikro,"2,00","2,00","4,00","870.000,00","3.600.000,00","60.024.000,00","info@8rooms.rs,office@8rooms.rs",broj stana: 1101,https://www.companywall.rs/firma/8-rooms-doo/MMxAcyeS0
382,AMA INVEST   DOO,D-Kucuk,AMA INVEST  DOO BEOGRAD - VRAČAR,24.6.2020.,Malo,"4,00","7,00","7,00","125.599.000,00","154.383.000,00","195.398.000,00","ama.invest@yahoo.com,amaholding2020@gmail.com",broj stana: 1,https://www.companywall.rs/firma/ama-invest---doo/MMx1nZOZq
193,AXIA EXCLUSIVE PROPERTIES,D-Kucuk,AXIA EXCLUSIVE PROPERTIES DOO BEOGRAD,17.9.2024.,Mikro,"0,00","1,00","2,00","0,00","0,00","27.757.000,00",office@axiaexclusive.com,Beograd,"https://www.companywall.rs/firma/axia-exclusive-properties/MMxCLN2YY,https://www.indomio.rs/en/agent/axia-exclusive-properties/31083,https://www.nekretnine.rs/en/agencije-za-nekretnine/399/"
396,BIBITUR DOO,D-Kucuk,BIBITUR DOO BEOGRAD-VOŽDOVAC,13.2.2014.,Mikro,"1,00","1,00","1,00","58.377.000,00","52.720.000,00","72.731.000,00",bibiturdoo@gmail.com,Beograd,https://www.companywall.rs/firma/bibitur-doo/MMsxnCsY
407,CISPA DOO NOVI SAD,D-Kucuk,PREDUZEĆE ZA PROMET NEKRETNINE CISPA DOO NOVI SAD,18.5.2007.,Mikro,"2,00","1,00","1,00","43.239.000,00","21.662.000,00","44.997.000,00","cispans@gmail.com,maricns@gmail.com",Novi Sad,https://www.companywall.rs/firma/cispa-doo-novi-sad/MMiNWT50
415,CONZA PROPERTIES DOO,D-Kucuk,CONZA PROPERTIES DOO BEOGRAD,1.7.2021.,Mikro,"3,00","3,00","4,00","13.280.000,00","38.729.000,00","34.597.000,00",office@residence7plus.rs,Beograd (Savski Venac),https://www.companywall.rs/firma/conza-properties-doo/MMx5hjZg0
424,CORTINA d.o.o. Beograd,D-Kucuk,CORTINA d.o.o. Beograd-Stari grad,25.4.2016.,Mikro,"1,00","3,00","6,00","226.000,00","15.150.000,00","26.911.000,00","contact@uradi-zaradi.rs,office@cortina.rs",Beograd (Stari Grad),https://www.companywall.rs/firma/cortina-doo-beograd/MMsOWZvq
395,CVETKOVIĆ-ROŠKOV,D-Kucuk,CVETKOVIĆ-ROŠKOV doo Beograd-Vračar,7.5.2020.,Mikro,"13,00","11,00","9,00","95.406.000,00","83.974.000,00","74.613.000,00","miroslav.cvetkovic@cvetkovicroskov.com,office@kwserbia.com",BEOGRAD (VRAČAR),https://www.companywall.rs/firma/cvetkovic-roskov/MMx1agXAC
420,DEJAN MARKOVIC PREDUZETNIK UGOSTITELJSKA RADNJA I AGENCIJA ZA POSREDOVANJE U PROMETU NEKRETNINA LIDER 201,D-Kucuk,DEJAN MARKOVIĆ PREDUZETNIK AGENCIJA ZA POSREDOVANjE U PROMETU I ZAKUPU NEPOKRETNOSTI I UGOSTITELjSKA RADNjA LIDER 2017 LESKOVAC,13.9.2017.,Mikro,"10,00","11,00","9,00","20.044.000,00","24.233.000,00","29.782.000,00",lider2000nekretnine@gmail.com,Leskovac,"https://www.companywall.rs/firma/dejan-markovic-preduzetnik-ugostiteljska-radnja-i-agencija-za-posredovanje-u-prometu-nekretnina-lide/MMyoqaPR,https://www.lidernekretnine.org"
409,EBIBO DOO BEOGRAD,D-Kucuk,PREDUZEĆE EBIBO DOO BEOGRAD (VOŽDOVAC),20.7.2010.,Mikro,"1,00","1,00","1,00","37.891.000,00","41.130.000,00","43.153.000,00","ebibo@sbb.rs,milenaboskovic.ebibo@gmail.com",Beograd,https://www.companywall.rs/firma/ebibo-doo-beograd/MMrJTpZR
425,INTERMAX JD DOO,D-Kucuk,INTERMAX JD DOO BEOGRAD-ZVEZDARA,20.2.2015.,Mikro,"1,00","1,00","1,00","19.857.000,00","24.902.000,00","26.790.000,00",vscekic1963@gmail.com,Beograd,https://www.companywall.rs/firma/intermax-jd-doo/MMe2yy9Y
397,ISON ASSET SOLUTIONS,D-Kucuk,ISON Asset Solutions doo Beograd-Vračar,28.5.2014.,Mikro,"7,00","7,00","6,00","35.125.000,00","48.576.000,00","70.516.000,00",office@isonconsult.com,Beograd (Vračar),"https://www.companywall.rs/firma/ison-asset-solutions/MMgv9jLY,https://www.isonconsult.com"
404,JEVTIĆ I.M.J NEKRETNINE d.o.o.,D-Kucuk,Privredno društvo JEVTIĆ I.M.J NEKRETNINE d.o.o. Beograd-Savski Venac,23.1.2013.,Mikro,"6,00","7,00","7,00","40.987.000,00","53.905.000,00","48.264.000,00",info@jevticnekretnine.rs,BEOGRAD (SAVSKI VENAC),https://www.companywall.rs/firma/jevtic-imj-nekretnine-doo/MMDQXhyC
380,KHALIFA & NORDIC FINANSIJE,D-Kucuk,KHALIFA & NORDIC FINANSIJE DOO BEOGRAD-Rakovica,26.10.2017.,Malo,"2,00","1,00","1,00","58.301.000,00","37.625.000,00","242.769.000,00",bosko.djukic64@gmail.com,Beograd (Rakovica),https://www.companywall.rs/firma/khalifa--nordic-finansije/MMywSKQq
427,Knight Frank West Balkans DOO,D-Kucuk,Knight Frank West Balkans DOO Beograd,13.4.2021.,Mikro,"3,00","2,00","2,00","2.001.000,00","3.060.000,00","26.643.000,00",hf@knightfrank.com,Beograd (Novi Beograd),https://www.companywall.rs/firma/knight-frank-west-balkans-doo/MMx5R6JGq
417,LAWA PROPERTIES DOO,D-Kucuk,LAWA PROPERTIES DOO BEOGRAD,29.4.2022.,Mikro,"0,00","0,00","2,00","601.000,00","0,00","31.578.000,00",properties@lawa.rs,Beograd (Zvezdara),https://www.companywall.rs/firma/lawa-properties-doo/MMx3yPeDq
405,MARKO MATIJEVIĆ PR HOSTGOST,D-Kucuk,MARKO MATIJEVIĆ PR DELATNOST AGENCIJA ZA NEKRETNINE HOSTGOST KOPAONIK,3.8.2018.,Mikro,"5,00","4,00","3,00","48.675.000,00","43.130.000,00","46.176.000,00",office@hostgost.rs,Beograd (Stari Grad),https://www.companywall.rs/firma/marko-matijevic-pr-hostgost/MMztJweD
411,MAX REAL ESTATE DOO,D-Kucuk,MAX REAL ESTATE DOO NOVI SAD,16.11.2022.,Mikro,"2,00","2,00","6,00","42.073.000,00","37.981.000,00","39.488.000,00","info@maxrealestate.rs,jelena.skrbic@maxrealestate.rs",Novi Sad,https://www.companywall.rs/firma/max-real-estate-doo/MMxA7Xwr0
423,MILJAN KRVAVAC PR PROPERTY BROKER,D-Kucuk,MILJAN KRVAVAC PR AGENCIJA ZA NEKRETNINE PROPERTY BROKER BEOGRAD,10.1.2017.,Mikro,"5,00","5,00","7,00","35.026.000,00","46.835.000,00","28.127.000,00",propertybrokermk@gmail.com,Beograd (Savski Venac),"https://propertybroker.rs,https://www.companywall.rs/firma/miljan-krvavac-pr-property-broker/MMrdYxn0"
393,Mezzanine d.o.o.,D-Kucuk,Agencija za posredovanje u prometu i zakupu nepokretnosti Mezzanine d.o.o. Beograd,5.12.2018.,Mikro,"2,00","3,00","3,00","70.731.000,00","55.619.000,00","77.928.000,00",disha980@gmail.com,Beograd (Stari Grad),https://www.companywall.rs/firma/mezzanine-doo/MMx0TOUbC
394,NEW CAPITAL doo,D-Kucuk,NEW CAPITAL doo Beograd-Zvezdara,28.3.2017.,Mikro,"2,00","1,00","1,00","52.964.000,00","44.232.000,00","77.624.000,00","alisa.becej@novaston.com,office@capital-new.com",Beograd (Zvezdara),https://www.companywall.rs/firma/new-capital-doo/MMkeDJGC
400,NIKOLA LJUBOJA PR UGOSTITELJSKA RADNJA GAUDIUM CONCEPT NOVI SAD,D-Kucuk,NIKOLA LJUBOJA PR AGENCIJA ZA NEKRETNINE N-NEKRETNINE LJUBOJA NOVI SAD,4.3.2011.,Mikro,"6,00","6,00","7,00","55.578.000,00","41.795.000,00","53.548.000,00","libraagencija@sbb.rs,n.nekretnine021@gmail.com",Novi Sad,https://www.companywall.rs/firma/nikola-ljuboja-pr-ugostiteljska-radnja-gaudium-concept-novi-sad/MMggejX0
412,OVERMAX CO DOO BEOGRAD,D-Kucuk,OVERMAX CO DOO  BEOGRAD - STARI GRAD,21.11.2007.,Mikro,"4,00","3,00","2,00","20.977.000,00","27.086.000,00","36.294.000,00",office@overmax.rs,BEOGRAD (STARI GRAD),https://www.companywall.rs/firma/overmax-co-doo-beograd/MMoX19PR
111,PREMIUM REAL ESTATE,D-Kucuk,PREMIUM REAL ESTATE DOO  BEOGRAD - SAVSKI VENAC,19.11.2021.,Mikro,"4,00","4,00","6,00","46.153.000,00","61.904.000,00","112.672.000,00",premiumrealbg@gmail.com,Beograd,"https://www.companywall.rs/firma/premium-real-estate/MMx3OnlbD,https://www.nekretnine.rs/en/agencije-za-nekretnine/1035/,https://www.nekretnine.rs/en/agencije-za-nekretnine/15/"
383,RESIDENCE HILLS,D-Kucuk,RESIDENCE HILLS doo Beograd-Savski venac,8.3.2021.,Malo,"5,00","6,00","8,00","43.235.000,00","59.536.000,00","177.721.000,00","office@residencehills.com,vikitaske@yahoo.com",broj stana: 608,"https://www.companywall.rs/firma/residence-hills/MMx5C3bfq,https://www.residencehills.com"
421,SARATOGA CONSULTING DOO BEOGRAD,D-Kucuk,SARATOGA CONSULTING DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BEOGRAD,18.3.2022.,Mikro,"6,00","5,00","5,00","20.291.000,00","29.945.000,00","29.691.000,00",assistant@lacmanovic.com,Beograd (Savski Venac),https://www.companywall.rs/firma/saratoga-consulting-doo-beograd/MMx3NoGwY
387,SILLAGE,D-Kucuk,SILLAGE DOO BEOGRAD-Stari Grad,21.3.2019.,Malo,"7,00","5,00","4,00","94.067.000,00","72.281.000,00","156.430.000,00",milutin.folic@gmail.com,Beograd (Stari Grad),https://www.companywall.rs/firma/sillage/MMx0iolzC
256,SINTAKSA REAL ESTATE,D-Kucuk,SINTAKSA REAL ESTATE DOO BEOGRAD,29.5.2024.,Mikro,"0,00","1,00","2,00","0,00","2.240.000,00","27.289.000,00",snezana.djogatovic@gmail.com,Beograd,"https://www.companywall.rs/firma/sintaksa-real-estate-doo/MMxBkdiUC,https://www.nekretnine.rs/en/agencije-za-nekretnine/815/"
426,SLAVIJA NEKRETNINE I GRAĐEVINARSTVO D.O.O. BEOGRAD,D-Kucuk,SLAVIJA NEKRETNINE I GRAĐEVINARSTVO D.O.O. BEOGRAD-SAVSKI VENAC,28.3.2012.,Mikro,"2,00","2,00","2,00","21.034.000,00","16.948.000,00","26.697.000,00",slavija12@yahoo.com,Beograd,https://www.companywall.rs/firma/slavija-nekretnine-i-gradevinarstvo-doo-beograd/MMqZirfD
410,Sky Hook doo,D-Kucuk,Sky Hook doo Pančevo,16.9.2021.,Mikro,"1,00","1,00","1,00","24.012.000,00","19.062.000,00","42.394.000,00",sesevic.bojan@gmail.com,Pančevo,https://www.companywall.rs/firma/sky-hook-doo/MMx5zyP1q
418,TILOX DOO,D-Kucuk,TILOX DOO Mladenovac,23.11.2022.,Mikro,"1,00","1,00","2,00","9.677.000,00","18.792.000,00","31.475.000,00",office@tilox.rs,Mladenovac,https://www.companywall.rs/firma/tilox-doo/MMxA9JYq0
413,TURAQUADRA DOO,D-Kucuk,TURAQUADRA DOO BEOGRAD-SAVSKI VENAC,25.9.2020.,Mikro,"5,00","7,00","7,00","43.693.000,00","52.168.000,00","36.033.000,00",turaquadra@gmail.com,Beograd (Savski Venac),https://www.companywall.rs/firma/turaquadra-doo/MMxE9fWpY
392,VIMPORT INVESTMENTS DOO BEOGRAD,D-Kucuk,VIMPORT INVESTMENTS DOO BEOGRAD (ZEMUN),12.5.2008.,Malo,"2,00","1,00","1,00","63.223.000,00","99.427.000,00","105.723.000,00","office@vimport.co.rs,office@vimportinvestments.com",BEOGRAD (ZEMUN),"https://www.companywall.rs/firma/vimport-investments-doo-beograd/MMnkhhqY,https://www.vimport.co.rs"
320,iO Partners,D-Kucuk,iO Partners d.o.o. Beograd (Novi Beograd),19.9.2023.,Malo,"8,00","6,00","6,00","18.386.000,00","40.557.000,00","85.579.000,00",info.serbia@iopartners.com,Beograd,"https://www.companywall.rs/firma/io-partners/MMx9aLU2C,https://www.nekretnine.rs/en/agencije-za-nekretnine/3415/"
414,ABELLINA DOO,E-Anomali,ABELLINA DOO BEOGRAD-ČUKARICA,23.1.2015.,Mikro,"1,00","1,00","0,00","27.820.000,00","27.738.000,00","34.677.000,00",kresojevic.jelena@yahoo.com,Beograd (Čukarica),https://www.companywall.rs/firma/abellina-doo/MMiXATOq
360,AURORA 369,E-Anomali,,,,-,-,-,-,-,-,office@aurora369nekretnine.rs,Novi Sad,"https://www.aurora369nekretnine.rs/,https://www.nekretnine.rs/en/agencije-za-nekretnine/437/,https://www.rumanekretnine.rs/"
376,Atrium Property Services d.o.o.,E-Anomali,Atrium Property Services d.o.o. Beograd,1.8.2005.,Malo,"233,00","165,00",-,"618.207.000,00","615.769.000,00",-,office@atrium.fm,Beograd (Novi Beograd),"https://www.atrium.fm,https://www.companywall.rs/firma/atrium-property-services-doo/MMgGPQXq"
186,BEOEXPERT,E-Anomali,,,,-,-,-,-,-,-,beoexpert@yahoo.com,Beograd,https://www.nekretnine.rs/en/agencije-za-nekretnine/299/
133,DIL NEKRETNINE,E-Anomali,,,,-,-,-,-,-,-,dilnekretnine@gmail.com,Beograd,https://www.nekretnine.rs/en/agencije-za-nekretnine/3409/
300,Kvadrat Više Nekretnine,E-Anomali,,,,-,-,-,-,-,-,branislav@kvadratvise.rs,Beograd,"https://www.indomio.rs/en/agent/kvadrat-vi%C5%A1e-nekretnine/31755,https://www.nekretnine.rs/en/agencije-za-nekretnine/5065/"
419,PRIME SPACE,E-Anomali,SANJA KITIĆ PR AGENCIJA ZA NEKRETNINE PRIME SPACE NOVI SAD,27.2.2024.,Mikro,"0,00","0,00","0,00","0,00","5.839.000,00","31.093.000,00",primespacens@gmail.com,Novi Sad,https://www.companywall.rs/firma/prime-space/MMxBLrVIC
372,Solis,E-Anomali,,,,-,-,-,-,-,-,office@solis-nekretnine.rs,,
